surgical,global,ja4_in_scope,scope_keys,cluster_attack_frac,cluster_size,scenario,p,botnet_ja4
0.0,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.0,t13d1516h2_synth_0001
0.001,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.001,t13d1516h2_synth_0001
0.005,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.005,t13d1516h2_synth_0001
0.01,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.01,t13d1516h2_synth_0001
0.05,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.05,t13d1516h2_synth_0001
0.1,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.1,t13d1516h2_synth_0001
0.25,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.25,t13d1516h2_synth_0001
0.5,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.5,t13d1516h2_synth_0001
0.75,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.75,t13d1516h2_synth_0001
0.9,1.0,True,endpoint+tlsJa4,0.5027707808564231,1985,K1000_seed1,0.9,t13d1516h2_synth_0001
0.0,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.0,t13d1516h2_synth_000a
0.001,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.001,t13d1516h2_synth_000a
0.005,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.005,t13d1516h2_synth_000a
0.01,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.01,t13d1516h2_synth_000a
0.05,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.05,t13d1516h2_synth_000a
0.1,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.1,t13d1516h2_synth_000a
0.25,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.25,t13d1516h2_synth_000a
0.5,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.5,t13d1516h2_synth_000a
0.75,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.75,t13d1516h2_synth_000a
0.9,1.0,True,endpoint+tlsJa4,0.5020100502512563,1990,K1000_seed10,0.9,t13d1516h2_synth_000a
0.0,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.0,t13d1516h2_synth_000b
0.001,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.001,t13d1516h2_synth_000b
0.005,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.005,t13d1516h2_synth_000b
0.01,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.01,t13d1516h2_synth_000b
0.05,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.05,t13d1516h2_synth_000b
0.1,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.1,t13d1516h2_synth_000b
0.25,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.25,t13d1516h2_synth_000b
0.5,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.5,t13d1516h2_synth_000b
0.75,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.75,t13d1516h2_synth_000b
0.9,1.0,True,endpoint+tlsJa4,0.5017561465127948,1993,K1000_seed11,0.9,t13d1516h2_synth_000b
0.0,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.0,t13d1516h2_synth_000c
0.001,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.001,t13d1516h2_synth_000c
0.005,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.005,t13d1516h2_synth_000c
0.01,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.01,t13d1516h2_synth_000c
0.05,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.05,t13d1516h2_synth_000c
0.1,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.1,t13d1516h2_synth_000c
0.25,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.25,t13d1516h2_synth_000c
0.5,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.5,t13d1516h2_synth_000c
0.75,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.75,t13d1516h2_synth_000c
0.9,1.0,True,endpoint+tlsJa4,0.501004016064257,1992,K1000_seed12,0.9,t13d1516h2_synth_000c
0.0,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.0,t13d1516h2_synth_000d
0.001,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.001,t13d1516h2_synth_000d
0.005,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.005,t13d1516h2_synth_000d
0.01,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.01,t13d1516h2_synth_000d
0.05,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.05,t13d1516h2_synth_000d
0.1,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.1,t13d1516h2_synth_000d
0.25,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.25,t13d1516h2_synth_000d
0.5,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.5,t13d1516h2_synth_000d
0.75,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.75,t13d1516h2_synth_000d
0.9,1.0,True,endpoint+tlsJa4,0.5012543903662819,1993,K1000_seed13,0.9,t13d1516h2_synth_000d
0.0,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.0,t13d1516h2_synth_000e
0.001,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.001,t13d1516h2_synth_000e
0.005,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.005,t13d1516h2_synth_000e
0.01,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.01,t13d1516h2_synth_000e
0.05,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.05,t13d1516h2_synth_000e
0.1,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.1,t13d1516h2_synth_000e
0.25,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.25,t13d1516h2_synth_000e
0.5,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.5,t13d1516h2_synth_000e
0.75,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.75,t13d1516h2_synth_000e
0.9,1.0,True,endpoint+tlsJa4,0.5022601707684581,1991,K1000_seed14,0.9,t13d1516h2_synth_000e
0.0,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.0,t13d1516h2_synth_000f
0.001,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.001,t13d1516h2_synth_000f
0.005,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.005,t13d1516h2_synth_000f
0.01,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.01,t13d1516h2_synth_000f
0.05,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.05,t13d1516h2_synth_000f
0.1,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.1,t13d1516h2_synth_000f
0.25,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.25,t13d1516h2_synth_000f
0.5,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.5,t13d1516h2_synth_000f
0.75,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.75,t13d1516h2_synth_000f
0.9,1.0,True,endpoint+tlsJa4,0.5007511266900351,1997,K1000_seed15,0.9,t13d1516h2_synth_000f
0.0,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.0,t13d1516h2_synth_0010
0.001,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.001,t13d1516h2_synth_0010
0.005,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.005,t13d1516h2_synth_0010
0.01,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.01,t13d1516h2_synth_0010
0.05,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.05,t13d1516h2_synth_0010
0.1,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.1,t13d1516h2_synth_0010
0.25,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.25,t13d1516h2_synth_0010
0.5,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.5,t13d1516h2_synth_0010
0.75,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.75,t13d1516h2_synth_0010
0.9,1.0,True,endpoint+tlsJa4,0.5,1996,K1000_seed16,0.9,t13d1516h2_synth_0010
0.0,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.0,t13d1516h2_synth_0011
0.001,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.001,t13d1516h2_synth_0011
0.005,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.005,t13d1516h2_synth_0011
0.01,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.01,t13d1516h2_synth_0011
0.05,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.05,t13d1516h2_synth_0011
0.1,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.1,t13d1516h2_synth_0011
0.25,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.25,t13d1516h2_synth_0011
0.5,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.5,t13d1516h2_synth_0011
0.75,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.75,t13d1516h2_synth_0011
0.9,1.0,True,endpoint+tlsJa4,0.5010030090270813,1994,K1000_seed17,0.9,t13d1516h2_synth_0011
0.0,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.0,t13d1516h2_synth_0012
0.001,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.001,t13d1516h2_synth_0012
0.005,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.005,t13d1516h2_synth_0012
0.01,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.01,t13d1516h2_synth_0012
0.05,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.05,t13d1516h2_synth_0012
0.1,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.1,t13d1516h2_synth_0012
0.25,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.25,t13d1516h2_synth_0012
0.5,1.0,True,endpoint+tlsJa4,0.503789792824659,1979,K1000_seed18,0.5,t13d1516h2_synth_0012
