n_sessions,repeat,coord_frac,ja4_pool,admission_p50_us,admission_p95_us,admission_mean_edges,sym_skipped,sym_build_s,sym_materialise_s,sym_omega_s,sym_total_s,sym_edges,sym_triples,sym_rules_fired,sym_estimated_pairs
100,0,0.3,2000,2.2919848561286926,4.249974153935909,144.23,False,0.0026070410385727882,0.5981266669696197,0.04354554205201566,0.6442792500602081,2582.0,2982.0,5.0,
100,1,0.3,2000,2.062006387859583,4.125060513615608,141.725,False,0.0025162919191643596,0.5258333750534803,0.034523208043538034,0.5628728750161827,2703.0,3103.0,4.0,
100,2,0.3,2000,2.125045284628868,4.00003045797348,158.355,False,0.0023547500604763627,0.4950873330235481,0.035915917018428445,0.5333580001024529,2731.0,3131.0,2.0,
250,0,0.3,2000,3.5205157473683357,6.332993507385254,239.99,False,0.007342916913330555,2.957002207986079,0.13090899994131178,3.0952541248407215,17221.0,18221.0,9.0,
250,1,0.3,2000,2.978951670229435,5.500041879713535,227.535,False,0.005911624990403652,2.8565350419376045,0.11853087495546788,2.980977541883476,15407.0,16407.0,9.0,
250,2,0.3,2000,3.270513843744993,5.792011506855488,249.855,False,0.005978999892249703,3.017678749980405,0.13308704202063382,3.1567447918932885,17383.0,18383.0,8.0,
500,0,0.3,2000,6.167043466120958,9.125098586082458,395.435,False,0.011994417058303952,11.557245083036833,0.43871037499047816,12.007949875085615,65115.0,67115.0,9.0,
500,1,0.3,2000,5.979498382657766,8.999952115118504,399.96,False,0.011870000045746565,11.632860917015933,0.44641224993392825,12.091143166995607,65111.0,67111.0,9.0,
500,2,0.3,2000,6.062444299459457,8.833012543618679,393.245,False,0.011856458033435047,11.857806916930713,0.4306995839579031,12.300362958922051,65163.0,67163.0,9.0,
1000,0,0.3,2000,12.395496014505625,16.125035472214222,741.03,False,0.06778687506448478,47.8440317499917,1.781593167106621,49.693411792162806,272673.0,276673.0,9.0,
1000,1,0.3,2000,11.875468771904707,15.83306584507227,726.235,False,0.023985667037777603,47.783392249955796,1.7339831669814885,49.54136108397506,260488.0,264488.0,9.0,
1000,2,0.3,2000,11.853990145027637,16.208970919251442,754.865,False,0.02440220909193158,49.05774208391085,1.7540335420053452,50.83617783500813,265328.0,269328.0,9.0,
2500,0,0.3,2000,32.7499583363533,38.62509038299322,1658.4,True,,,,,,,,1641169.0
2500,1,0.3,2000,32.54145849496126,36.16698086261749,1692.065,True,,,,,,,,1608113.0
2500,2,0.3,2000,31.041970942169428,36.29201091825962,1630.22,True,,,,,,,,1671812.0
5000,0,0.3,2000,66.04153895750642,72.25002627819777,3426.915,True,,,,,,,,6689040.0
5000,1,0.3,2000,61.70803681015968,71.29204459488392,3344.54,True,,,,,,,,6683340.0
5000,2,0.3,2000,58.8330440223217,70.0830714777112,3346.91,True,,,,,,,,6625661.0
10000,0,0.3,2000,133.91650281846523,147.50007539987564,6496.96,True,,,,,,,,26597655.0
10000,1,0.3,2000,122.12502770125866,142.83298514783382,6475.27,True,,,,,,,,25868485.0
10000,2,0.3,2000,122.02048674225807,144.41600069403648,6512.47,True,,,,,,,,26708961.0
