coverage,collateral,n_ja4,profile,profile_alpha,seed
0.894,0.0,25,matched,1.5,1
0.894,0.006,26,drifted,2.0,1
0.894,0.822,39,flat,0.0,1
0.908,0.0,25,matched,1.5,2
0.908,0.0,25,drifted,2.0,2
0.908,0.809,37,flat,0.0,2
0.89,0.0,25,matched,1.5,3
0.89,0.0,25,drifted,2.0,3
0.89,0.815,39,flat,0.0,3
0.916,0.0,25,matched,1.5,4
0.916,0.0,25,drifted,2.0,4
0.916,0.805,40,flat,0.0,4
0.895,0.0,25,matched,1.5,5
0.895,0.009,26,drifted,2.0,5
0.895,0.831,39,flat,0.0,5
0.893,0.0,25,matched,1.5,6
0.893,0.008,26,drifted,2.0,6
0.893,0.819,39,flat,0.0,6
0.919,0.0,25,matched,1.5,7
0.919,0.0,25,drifted,2.0,7
0.919,0.791,39,flat,0.0,7
0.888,0.0,25,matched,1.5,8
0.888,0.0,25,drifted,2.0,8
0.888,0.822,39,flat,0.0,8
0.915,0.0,25,matched,1.5,9
0.915,0.0,25,drifted,2.0,9
0.915,0.817,39,flat,0.0,9
0.91,0.0,25,matched,1.5,10
0.91,0.0,25,drifted,2.0,10
0.91,0.808,39,flat,0.0,10
0.903,0.0,25,matched,1.5,11
0.903,0.013,27,drifted,2.0,11
0.903,0.796,38,flat,0.0,11
0.901,0.0,25,matched,1.5,12
0.901,0.013,27,drifted,2.0,12
0.901,0.834,42,flat,0.0,12
0.907,0.0,25,matched,1.5,13
0.907,0.012,27,drifted,2.0,13
0.907,0.818,39,flat,0.0,13
0.908,0.0,25,matched,1.5,14
0.908,0.006,26,drifted,2.0,14
0.908,0.78,37,flat,0.0,14
0.898,0.0,25,matched,1.5,15
0.898,0.0,25,drifted,2.0,15
0.898,0.811,40,flat,0.0,15
