alpha,stacks,adv,seed,sym_recall,sym_fpr,sym_precision,sym_f1,sym_n_ja4,rf_auc,rf_recall_fpr0,rf_recall_fpr1
0.0,1,0,1,0.882,0.0,1.0,0.9373007438894793,1,0.9839555555555556,0.8933333333333333,0.9166666666666666
0.0,1,0,2,0.901,0.0,1.0,0.9479221462388217,1,0.9830277777777778,0.9166666666666666,0.9266666666666666
0.0,1,0,3,0.003,0.0,1.0,0.005982053838484547,1,0.9803333333333333,0.9033333333333333,0.9066666666666666
0.0,1,0,4,0.909,0.0,1.0,0.9523310633839707,1,0.9786222222222223,0.8866666666666667,0.94
0.0,1,0,5,0.9,0.0,1.0,0.9473684210526316,1,0.9727444444444446,0.9033333333333333,0.9066666666666666
0.0,1,0,6,0.889,0.0,1.0,0.9412387506617258,1,0.9643999999999999,0.8833333333333333,0.8933333333333333
0.0,1,0,7,0.904,0.0,1.0,0.9495798319327732,1,0.9716833333333333,0.8933333333333333,0.91
0.0,1,0,8,0.901,0.0,1.0,0.9479221462388217,1,0.970211111111111,0.9,0.91
0.0,1,0,9,0.914,0.0,1.0,0.9550679205851619,1,0.9795277777777777,0.92,0.93
0.0,1,0,10,0.91,0.0,1.0,0.9528795811518325,1,0.9819,0.9166666666666666,0.9233333333333333
0.0,1,0,11,0.893,0.0,1.0,0.9434759640781828,1,0.9705666666666668,0.89,0.9066666666666666
0.0,1,0,12,0.891,0.0,1.0,0.9423585404547858,1,0.9747055555555555,0.9,0.9166666666666666
0.0,1,0,13,0.903,0.0,1.0,0.9490278507619548,1,0.9752833333333334,0.8966666666666666,0.92
0.0,1,0,14,0.912,0.0,1.0,0.9539748953974896,1,0.9775888888888888,0.9133333333333333,0.93
0.0,1,0,15,0.892,0.0,1.0,0.9429175475687104,1,0.9751666666666667,0.9033333333333333,0.9166666666666666
1.5,1,0,1,0.882,0.0,1.0,0.9373007438894793,1,0.9977,0.9133333333333333,0.96
1.5,1,0,2,0.901,0.0,1.0,0.9479221462388217,1,0.9973555555555556,0.94,0.9533333333333334
1.5,1,0,3,0.003,0.0,1.0,0.005982053838484547,1,0.9981888888888889,0.9333333333333333,0.9466666666666667
1.5,1,0,4,0.909,0.0,1.0,0.9523310633839707,1,0.9983166666666666,0.8966666666666666,0.95
1.5,1,0,5,0.9,0.0,1.0,0.9473684210526316,1,0.9952833333333333,0.8733333333333333,0.92
1.5,1,0,6,0.889,0.0,1.0,0.9412387506617258,1,0.9960111111111111,0.9133333333333333,0.9266666666666666
1.5,1,0,7,0.904,0.0,1.0,0.9495798319327732,1,0.9966055555555555,0.9166666666666666,0.9433333333333334
1.5,1,0,8,0.901,0.0,1.0,0.9479221462388217,1,0.996161111111111,0.9066666666666666,0.9333333333333333
1.5,1,0,9,0.914,0.0,1.0,0.9550679205851619,1,0.9965722222222222,0.9233333333333333,0.9266666666666666
1.5,1,0,10,0.91,0.0,1.0,0.9528795811518325,1,0.9978388888888888,0.9233333333333333,0.9466666666666667
1.5,1,0,11,0.893,0.0,1.0,0.9434759640781828,1,0.9959055555555556,0.9166666666666666,0.93
1.5,1,0,12,0.891,0.0,1.0,0.9423585404547858,1,0.9978055555555556,0.9166666666666666,0.9533333333333334
1.5,1,0,13,0.903,0.0,1.0,0.9490278507619548,1,0.9971722222222222,0.91,0.9366666666666666
1.5,1,0,14,0.912,0.0,1.0,0.9539748953974896,1,0.9965833333333334,0.9466666666666667,0.95
1.5,1,0,15,0.892,0.0,1.0,0.9429175475687104,1,0.9959722222222221,0.9266666666666666,0.9366666666666666
1.5,5,0,1,0.889,0.0,1.0,0.9412387506617258,5,0.9932944444444444,0.77,0.8966666666666666
1.5,5,0,2,0.89,0.0,1.0,0.9417989417989417,5,0.9967444444444444,0.9133333333333333,0.93
1.5,5,0,3,0.894,0.0,1.0,0.9440337909186906,5,0.9956277777777778,0.9366666666666666,0.94
1.5,5,0,4,0.906,0.0,1.0,0.9506820566631689,5,0.9969666666666667,0.8466666666666667,0.95
1.5,5,0,5,0.909,0.0,1.0,0.9523310633839707,5,0.9960277777777778,0.93,0.96
1.5,5,0,6,0.894,0.0,1.0,0.9440337909186906,5,0.9944555555555555,0.8933333333333333,0.9333333333333333
1.5,5,0,7,0.915,0.0,1.0,0.9556135770234987,5,0.9982111111111112,0.8766666666666667,0.9733333333333334
1.5,5,0,8,0.895,0.0,1.0,0.9445910290237467,5,0.9955111111111111,0.8866666666666667,0.93
1.5,5,0,9,0.923,0.0,1.0,0.9599583983359334,5,0.994388888888889,0.91,0.94
1.5,5,0,10,0.907,0.0,1.0,0.951232302045097,5,0.9965666666666667,0.89,0.93
1.5,5,0,11,0.891,0.0,1.0,0.9423585404547858,5,0.9953166666666666,0.8233333333333334,0.92
1.5,5,0,12,0.899,0.0,1.0,0.94681411269089,5,0.9989444444444445,0.8866666666666667,0.9833333333333333
1.5,5,0,13,0.899,0.0,1.0,0.94681411269089,5,0.9967722222222223,0.9133333333333333,0.9433333333333334
1.5,5,0,14,0.899,0.0,1.0,0.94681411269089,5,0.9935722222222222,0.8833333333333333,0.9366666666666666
1.5,5,0,15,0.895,0.0,1.0,0.9445910290237467,5,0.9948222222222223,0.93,0.9433333333333334
1.5,25,0,1,0.894,0.0,1.0,0.9440337909186906,25,0.9850111111111111,0.6733333333333333,0.8466666666666667
1.5,25,0,2,0.908,0.0,1.0,0.9517819706498952,25,0.9828833333333333,0.69,0.8466666666666667
1.5,25,0,3,0.89,0.0,1.0,0.9417989417989417,25,0.982138888888889,0.23,0.69
1.5,25,0,4,0.916,0.0,1.0,0.9561586638830899,25,0.97985,0.25333333333333335,0.61
1.5,25,0,5,0.895,0.0,1.0,0.9445910290237467,25,0.9853333333333334,0.72,0.82
1.5,25,0,6,0.893,0.0,1.0,0.9434759640781828,25,0.95765,0.0,0.35333333333333333
1.5,25,0,7,0.919,0.0,1.0,0.9577905158936947,25,0.9862777777777777,0.37333333333333335,0.8533333333333334
1.5,25,0,8,0.888,0.0,1.0,0.940677966101695,25,0.9624055555555555,0.013333333333333334,0.3333333333333333
1.5,25,0,9,0.915,0.0,1.0,0.9556135770234987,25,0.9868611111111111,0.30666666666666664,0.75
1.5,25,0,10,0.91,0.0,1.0,0.9528795811518325,25,0.9775055555555556,0.19,0.61
1.5,25,0,11,0.903,0.0,1.0,0.9490278507619548,25,0.98725,0.6166666666666667,0.7133333333333334
1.5,25,0,12,0.901,0.0,1.0,0.9479221462388217,25,0.9834611111111111,0.7333333333333333,0.7833333333333333
1.5,25,0,13,0.907,0.0,1.0,0.951232302045097,25,0.9776611111111111,0.24666666666666667,0.58
1.5,25,0,14,0.908,0.0,1.0,0.9517819706498952,25,0.9632000000000001,0.0,0.34
1.5,25,0,15,0.898,0.0,1.0,0.946259220231823,25,0.9850277777777778,0.41,0.8933333333333333
